rank,planet_name,star_system,habitability_probability,habitability_score,predicted_habitable,actual_label,discovery_year
1,Kepler-167 e,Kepler-167,0.4488621399322895,44.88621399322895,0,0,2016
2,Kepler-1654 b,Kepler-1654,0.42720095958014676,42.720095958014674,0,0,2018
3,Kepler-174 d,Kepler-174,0.24988174931914414,24.988174931914415,0,1,2014
4,Kepler-62 f,Kepler-62,0.22728614359956914,22.728614359956914,0,1,2013
5,Kepler-452 b,Kepler-452,0.213347070673926,21.3347070673926,0,1,2015
6,Kepler-1593 b,Kepler-1593,0.2130326974370357,21.30326974370357,0,0,2016
7,Kepler-1704 b,Kepler-1704,0.18311343996660634,18.311343996660632,0,0,2013
8,Kepler-441 b,Kepler-441,0.16676952404844342,16.676952404844343,0,0,2015
9,Kepler-22 b,Kepler-22,0.12969583515463973,12.969583515463972,0,0,2011
10,Kepler-443 b,Kepler-443,0.12854567848881443,12.854567848881443,0,1,2015
11,Kepler-1544 b,Kepler-1544,0.11616650358351441,11.61665035835144,0,1,2016
12,Kepler-1630 b,Kepler-1630,0.11596492749970459,11.596492749970459,0,0,2016
13,Kepler-1638 b,Kepler-1638,0.1121396559318731,11.213965593187309,0,0,2016
14,Kepler-421 b,Kepler-421,0.10942065552474263,10.942065552474263,0,0,2014
15,Kepler-1653 b,Kepler-1653,0.09475915170839949,9.475915170839949,0,1,2017
16,Kepler-1058 b,Kepler-1058,0.09120450425522046,9.120450425522046,0,1,2016
17,EPIC 248847494 b,EPIC 248847494,0.08942394095346577,8.942394095346577,0,0,2018
18,Kepler-62 e,Kepler-62,0.08742052201718167,8.742052201718167,0,0,2013
19,Kepler-1362 b,Kepler-1362,0.08590844396071089,8.59084439607109,0,1,2016
20,Kepler-1533 b,Kepler-1533,0.0793272833635281,7.93272833635281,0,0,2016
21,Kepler-1540 b,Kepler-1540,0.07806177317782838,7.806177317782838,0,1,2016
22,Kepler-69 c,Kepler-69,0.0753092026203221,7.53092026203221,0,0,2013
23,Kepler-309 c,Kepler-309,0.06884194813528456,6.884194813528456,0,1,2014
24,Kepler-311 d,Kepler-311,0.065916328767561,6.591632876756099,0,0,2023
25,Kepler-186 f,Kepler-186,0.06552024362244957,6.552024362244957,0,0,2014
26,Kepler-705 b,Kepler-705,0.06429364485550783,6.429364485550783,0,1,2016
27,Kepler-1996 c,Kepler-1996,0.061566895008856634,6.156689500885664,0,0,2023
28,Kepler-1389 b,Kepler-1389,0.06078013120746852,6.078013120746852,0,0,2016
29,Kepler-1816 b,Kepler-1816,0.06033819152453953,6.033819152453953,0,0,2021
30,Kepler-1040 b,Kepler-1040,0.05768805199700846,5.768805199700846,0,0,2016
31,Kepler-283 c,Kepler-283,0.05747693880177292,5.747693880177292,0,1,2014
32,Kepler-991 b,Kepler-991,0.0572338599906614,5.7233859990661395,0,1,2016
33,Kepler-296 f,Kepler-296,0.05706585183566857,5.706585183566857,0,1,2014
34,Kepler-442 b,Kepler-442,0.05525851707926538,5.525851707926538,0,1,2015
35,LHS 1140 b,LHS 1140,0.05466595823202518,5.466595823202518,0,1,2017
36,Kepler-1858 b,Kepler-1858,0.05289816840940813,5.289816840940813,0,0,2021
37,Kepler-445 d,Kepler-445,0.05179333292188486,5.179333292188486,0,0,2015
38,TOI-2257 b,TOI-2257,0.0515358028414572,5.15358028414572,0,1,2021
39,Kepler-1552 b,Kepler-1552,0.050703798668188624,5.070379866818862,0,1,2016
40,Kepler-993 b,Kepler-993,0.05051723700922588,5.0517237009225875,0,0,2016
41,Kepler-560 b,Kepler-560,0.049848758190674025,4.984875819067403,0,0,2016
42,TOI-4336 A b,TOI-4336 A,0.04959575415022403,4.959575415022403,0,0,2024
43,TOI-712 d,TOI-712,0.04952530240478422,4.952530240478422,0,0,2022
44,Kepler-1651 b,Kepler-1651,0.04874095101316679,4.874095101316679,0,0,2017
45,L 98-59 d,L 98-59,0.048352671902791716,4.835267190279172,0,0,2019
46,TOI-1266 c,TOI-1266,0.047644071720876105,4.76440717208761,0,0,2020
47,Kepler-296 d,Kepler-296,0.047600390664526024,4.760039066452602,0,0,2014
48,Kepler-440 b,Kepler-440,0.04713645659555748,4.713645659555747,0,1,2015
49,TOI-6002 b,TOI-6002,0.04682754710206276,4.682754710206276,0,0,2024
50,TOI-406.01,TOI-406.01,0.04680981052148931,4.6809810521489315,0,0,2024
51,Kepler-225 c,Kepler-225,0.04602137108706121,4.602137108706121,0,0,2014
52,LTT 3780 c,LTT 3780,0.04595564382249854,4.5955643822498535,0,0,2020
53,TOI-5713 b,TOI-5713,0.0459266885331477,4.59266885331477,0,0,2024
54,Kepler-749 b,Kepler-749,0.04580511950162297,4.580511950162297,0,0,2016
55,Kepler-1052 c,Kepler-1052,0.04537942803500387,4.537942803500386,0,0,2023
56,Kepler-1439 b,Kepler-1439,0.044765030431369535,4.476503043136954,0,0,2016
57,TOI-2266 b,TOI-2266,0.044675502628388444,4.467550262838844,0,0,2024
58,Kepler-439 b,Kepler-439,0.044339820084474915,4.433982008447492,0,0,2015
59,Kepler-1229 b,Kepler-1229,0.044227612439883345,4.422761243988335,0,0,2016
60,TOI-4184 b,TOI-4184,0.04418867422537012,4.418867422537012,0,0,2023
61,Kepler-1652 b,Kepler-1652,0.04390378352396072,4.3903783523960715,0,1,2017
62,G 9-40 b,G 9-40,0.043319294967385555,4.331929496738556,0,0,2019
63,K2-18 b,K2-18,0.043254806806361436,4.325480680636144,0,0,2015
64,LP 791-18 c,LP 791-18,0.043183091359320316,4.318309135932032,0,0,2019
65,TOI-5388.01,TOI-5388.01,0.04307353714772151,4.307353714772151,0,0,2024
66,TOI-1452 b,TOI-1452,0.04299870832168678,4.299870832168677,0,0,2022
